,pT1,pT2,pT3,pT4
653,41.375,39.25,16.625,15.09375
654,51.25,46.125,9.875,3.7578125
655,73.75,33.0,33.625,12.1875
656,38.875,38.25,45.25,5.4375
657,99.0,17.25,49.375,3.7109375
658,73.25,26.9375,14.84375,7.171875
659,48.75,42.0,32.75,12.03125
660,58.0,22.625,44.625,6.4375
661,63.75,19.625,28.5625,6.25
662,42.5,40.75,22.9375,15.09375
663,21.5,8.625,35.5,16.0625
664,59.875,24.625,25.1875,15.0
665,100.25,30.8125,34.0,12.375
666,54.75,31.1875,25.25,7.671875
667,58.875,23.5,23.5625,9.34375
668,52.125,25.75,7.546875,1.3828125
669,48.0,21.8125,33.0,20.8125
670,66.75,21.25,38.0,11.90625
671,118.5,13.0625,14.46875,10.46875
672,43.375,40.25,38.5,36.375
673,81.25,18.6875,21.1875,13.78125
674,30.125,29.1875,46.625,21.4375
675,71.0,18.6875,27.4375,18.6875
676,71.25,30.375,12.0625,6.28125
677,26.1875,24.75,31.625,9.84375
678,50.125,17.625,14.09375,10.65625
679,58.75,21.0,27.9375,22.9375
680,99.0,20.8125,18.6875,13.28125
681,32.875,16.3125,20.0625,11.09375
682,47.0,36.25,62.5,3.46875
683,66.5,23.3125,31.125,6.28125
684,49.0,31.75,19.4375,16.75
685,25.0,7.375,29.125,14.3125
686,42.125,38.875,29.8125,9.28125
687,103.0,19.1875,32.0,2.578125
688,47.5,44.5,35.375,10.3125
689,126.0,59.375,32.75,12.1875
690,120.25,65.5,38.125,14.65625
691,52.0,21.25,32.5,10.125
692,54.25,7.296875,33.625,20.5
693,29.5,26.6875,25.4375,10.28125
694,74.25,18.8125,40.0,36.625
695,76.0,18.25,9.3125,6.421875
696,66.0,7.28125,25.75,11.625
697,52.0,20.625,15.65625,12.9375
698,86.75,29.75,48.25,11.59375
699,39.75,28.0625,31.25,9.78125
700,31.375,5.203125,21.5,11.9375
701,70.75,10.5,18.625,15.96875
702,22.25,11.46875,14.6875,6.796875
703,115.75,16.875,38.625,19.6875
704,41.375,16.875,30.6875,22.0
705,69.0,32.125,26.4375,7.40625
706,46.375,20.75,31.875,9.4375
707,100.75,17.3125,14.40625,4.8125
708,54.75,26.9375,31.875,16.0
709,42.0,40.25,45.875,17.75
710,51.375,19.875,51.5,19.25
711,29.1875,23.75,34.5,29.875
712,29.3125,26.875,19.3125,18.8125
